2026-04-14 00:13:15 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.280s
2026-04-14 00:13:15 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.271s
2026-04-14 00:13:15 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:13:15 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:13:15 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 5.354s
2026-04-14 00:13:34 | INFO     | core.pipeline:__init__:53 | Initialising VeriFactPipeline (profile=interactive, provider=ollama, model=llama3.1:8b)
2026-04-14 00:13:34 | INFO     | core.llm_client:_try_init:52 | Ollama configured (model=llama3.1:8b, url=http://localhost:11434)
2026-04-14 00:13:34 | INFO     | core.claim_decomposer:__init__:100 | ClaimDecomposer initialised
2026-04-14 00:13:34 | INFO     | core.evidence_retriever:__init__:54 | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-04-14 00:13:42 | INFO     | core.evidence_retriever:__init__:69 | Loading FAISS index from data/index/knowledge.index
2026-04-14 00:13:42 | INFO     | core.evidence_retriever:__init__:71 | Index loaded — 24,605 vectors
2026-04-14 00:13:42 | INFO     | core.evidence_retriever:__init__:81 | Loading metadata from data/metadata/chunks.jsonl
2026-04-14 00:13:42 | INFO     | core.evidence_retriever:_load_metadata:168 | Loaded 24,605 metadata entries
2026-04-14 00:13:42 | INFO     | core.verdict_engine:__init__:57 | Loading NLI model: cross-encoder/nli-deberta-v3-base
2026-04-14 00:13:46 | INFO     | core.verdict_engine:__init__:65 | NLI model using Apple MPS acceleration
2026-04-14 00:13:46 | INFO     | core.verdict_engine:__init__:72 | VerdictEngine ready
2026-04-14 00:13:46 | INFO     | core.pipeline:__init__:65 | VeriFactPipeline ready
2026-04-14 00:14:00 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:00 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 2.549s
2026-04-14 00:14:00 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:01 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.506s
2026-04-14 00:14:01 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:01 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.414s
2026-04-14 00:14:01 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:01 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:01 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 3.469s
2026-04-14 00:14:02 | INFO     | core.claim_decomposer:decompose:115 | Fallback decomposed text into 1 claims
2026-04-14 00:14:02 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 0.334s
2026-04-14 00:14:02 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:02 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.036s
2026-04-14 00:14:02 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:02 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.259s
2026-04-14 00:14:02 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:02 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:02 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 0.630s
2026-04-14 00:14:02 | INFO     | core.claim_decomposer:decompose:115 | Fallback decomposed text into 1 claims
2026-04-14 00:14:02 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 0.343s
2026-04-14 00:14:02 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:02 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.011s
2026-04-14 00:14:02 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:03 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.304s
2026-04-14 00:14:03 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:03 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
